Product,Created_at,UF,Unit,volume,year_month
GASOLINA C (m3),2000,RONDÔNIA,m3,9563.263,2000-01-01
GASOLINA C (m3),2000,ACRE,m3,3065.758,2000-01-01
GASOLINA C (m3),2000,AMAZONAS,m3,17615.604,2000-01-01
GASOLINA C (m3),2000,RORAIMA,m3,3259.3,2000-01-01
GASOLINA C (m3),2000,PARÁ,m3,28830.479,2000-01-01
GASOLINA C (m3),2000,AMAPÁ,m3,3456.35,2000-01-01
GASOLINA C (m3),2000,TOCANTINS,m3,6961.518,2000-01-01
GASOLINA C (m3),2000,MARANHÃO,m3,16751.08,2000-01-01
GASOLINA C (m3),2000,PIAUÍ,m3,8452.2,2000-01-01
GASOLINA C (m3),2000,CEARÁ,m3,38492.506,2000-01-01
GASOLINA C (m3),2000,RIO GRANDE DO NORTE,m3,19130.2,2000-01-01
GASOLINA C (m3),2000,PARAÍBA,m3,20166.052,2000-01-01
GASOLINA C (m3),2000,PERNAMBUCO,m3,51905.707,2000-01-01
GASOLINA C (m3),2000,ALAGOAS,m3,14001.15,2000-01-01
GASOLINA C (m3),2000,SERGIPE,m3,12292.884,2000-01-01
GASOLINA C (m3),2000,BAHIA,m3,79545.219,2000-01-01
GASOLINA C (m3),2000,MINAS GERAIS,m3,182555.481,2000-01-01
GASOLINA C (m3),2000,ESPÍRITO SANTO,m3,43744.621,2000-01-01
GASOLINA C (m3),2000,RIO DE JANEIRO,m3,152471.323,2000-01-01
GASOLINA C (m3),2000,SÃO PAULO,m3,579928.009,2000-01-01
GASOLINA C (m3),2000,PARANÁ,m3,131275.827,2000-01-01
GASOLINA C (m3),2000,SANTA CATARINA,m3,90238.164,2000-01-01
GASOLINA C (m3),2000,RIO GRANDE DO SUL,m3,155870.853,2000-01-01
GASOLINA C (m3),2000,MATO GROSSO DO SUL,m3,22586.589,2000-01-01
GASOLINA C (m3),2000,MATO GROSSO,m3,20899.358,2000-01-01
GASOLINA C (m3),2000,GOIÁS,m3,58254.692,2000-01-01
GASOLINA C (m3),2000,DISTRITO FEDERAL,m3,39257.909,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,RONDÔNIA,m3,0.0,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,ACRE,m3,45.45,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,AMAZONAS,m3,114.782,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,RORAIMA,m3,30.0,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,PARÁ,m3,451.634,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,AMAPÁ,m3,0.0,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,TOCANTINS,m3,137.0,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,MARANHÃO,m3,57.555,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,PIAUÍ,m3,46.0,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,CEARÁ,m3,47.535,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,RIO GRANDE DO NORTE,m3,49.431,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,PARAÍBA,m3,1.459,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,PERNAMBUCO,m3,375.815,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,ALAGOAS,m3,15.0,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,SERGIPE,m3,20.0,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,BAHIA,m3,169.46,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,MINAS GERAIS,m3,211.548,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,ESPÍRITO SANTO,m3,4.954,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,RIO DE JANEIRO,m3,105.22,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,SÃO PAULO,m3,2074.411,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,PARANÁ,m3,304.987,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,SANTA CATARINA,m3,103.498,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,RIO GRANDE DO SUL,m3,1132.578,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,MATO GROSSO DO SUL,m3,199.916,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,MATO GROSSO,m3,1463.304,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,GOIÁS,m3,380.498,2000-01-01
GASOLINA DE AVIAÇÃO (m3),2000,DISTRITO FEDERAL,m3,73.574,2000-01-01
