Product,Created_at,UF,Unit,volume,year_month
ÓLEO DIESEL (m3),2012,RONDÔNIA,m3,35384.625231436345,2012-01-01
ÓLEO DIESEL (m3),2012,ACRE,m3,4513.245285085279,2012-01-01
ÓLEO DIESEL (m3),2012,AMAZONAS,m3,16156.48066335275,2012-01-01
ÓLEO DIESEL (m3),2012,RORAIMA,m3,4593.880718522735,2012-01-01
ÓLEO DIESEL (m3),2012,PARÁ,m3,68112.56288683366,2012-01-01
ÓLEO DIESEL (m3),2012,AMAPÁ,m3,3834.9335708671424,2012-01-01
ÓLEO DIESEL (m3),2012,TOCANTINS,m3,48807.87503915843,2012-01-01
ÓLEO DIESEL (m3),2012,MARANHÃO,m3,58613.51142113642,2012-01-01
ÓLEO DIESEL (m3),2012,PIAUÍ,m3,29185.50657218786,2012-01-01
ÓLEO DIESEL (m3),2012,CEARÁ,m3,58517.387200105324,2012-01-01
ÓLEO DIESEL (m3),2012,RIO GRANDE DO NORTE,m3,29392.99536184512,2012-01-01
ÓLEO DIESEL (m3),2012,PARAÍBA,m3,26747.109271202637,2012-01-01
ÓLEO DIESEL (m3),2012,PERNAMBUCO,m3,73931.68118803365,2012-01-01
ÓLEO DIESEL (m3),2012,ALAGOAS,m3,22267.65480589462,2012-01-01
ÓLEO DIESEL (m3),2012,SERGIPE,m3,21855.664667466925,2012-01-01
ÓLEO DIESEL (m3),2012,BAHIA,m3,172466.7834096996,2012-01-01
ÓLEO DIESEL (m3),2012,MINAS GERAIS,m3,291653.90475067287,2012-01-01
ÓLEO DIESEL (m3),2012,ESPÍRITO SANTO,m3,42089.70282960845,2012-01-01
ÓLEO DIESEL (m3),2012,RIO DE JANEIRO,m3,99471.42589852026,2012-01-01
ÓLEO DIESEL (m3),2012,SÃO PAULO,m3,411027.71917902766,2012-01-01
ÓLEO DIESEL (m3),2012,PARANÁ,m3,237572.0984206632,2012-01-01
ÓLEO DIESEL (m3),2012,SANTA CATARINA,m3,117661.320040844,2012-01-01
ÓLEO DIESEL (m3),2012,RIO GRANDE DO SUL,m3,152573.0252183221,2012-01-01
ÓLEO DIESEL (m3),2012,MATO GROSSO DO SUL,m3,43618.01795578951,2012-01-01
ÓLEO DIESEL (m3),2012,MATO GROSSO,m3,85817.03809103617,2012-01-01
ÓLEO DIESEL (m3),2012,GOIÁS,m3,102511.65555310887,2012-01-01
ÓLEO DIESEL (m3),2012,DISTRITO FEDERAL,m3,13767.723769578517,2012-01-01
ÓLEO DIESEL (m3),2012,RONDÔNIA,m3,15656.721,2012-01-01
ÓLEO DIESEL (m3),2012,ACRE,m3,12628.176,2012-01-01
ÓLEO DIESEL (m3),2012,AMAZONAS,m3,82271.378,2012-01-01
ÓLEO DIESEL (m3),2012,RORAIMA,m3,3661.0,2012-01-01
ÓLEO DIESEL (m3),2012,PARÁ,m3,60812.668,2012-01-01
ÓLEO DIESEL (m3),2012,AMAPÁ,m3,28927.202,2012-01-01
ÓLEO DIESEL (m3),2012,TOCANTINS,m3,2171.0,2012-01-01
ÓLEO DIESEL (m3),2012,MARANHÃO,m3,32990.381,2012-01-01
ÓLEO DIESEL (m3),2012,PIAUÍ,m3,6097.958,2012-01-01
ÓLEO DIESEL (m3),2012,CEARÁ,m3,20491.155,2012-01-01
ÓLEO DIESEL (m3),2012,RIO GRANDE DO NORTE,m3,8770.732,2012-01-01
ÓLEO DIESEL (m3),2012,PARAÍBA,m3,10961.0,2012-01-01
ÓLEO DIESEL (m3),2012,PERNAMBUCO,m3,34982.264,2012-01-01
ÓLEO DIESEL (m3),2012,ALAGOAS,m3,16884.628,2012-01-01
ÓLEO DIESEL (m3),2012,SERGIPE,m3,5689.5,2012-01-01
ÓLEO DIESEL (m3),2012,BAHIA,m3,50441.001,2012-01-01
ÓLEO DIESEL (m3),2012,MINAS GERAIS,m3,136637.051,2012-01-01
ÓLEO DIESEL (m3),2012,ESPÍRITO SANTO,m3,42965.566,2012-01-01
ÓLEO DIESEL (m3),2012,RIO DE JANEIRO,m3,119337.336,2012-01-01
ÓLEO DIESEL (m3),2012,SÃO PAULO,m3,268121.095,2012-01-01
ÓLEO DIESEL (m3),2012,PARANÁ,m3,61225.504,2012-01-01
ÓLEO DIESEL (m3),2012,SANTA CATARINA,m3,22792.766,2012-01-01
ÓLEO DIESEL (m3),2012,RIO GRANDE DO SUL,m3,35668.795,2012-01-01
ÓLEO DIESEL (m3),2012,MATO GROSSO DO SUL,m3,20691.67,2012-01-01
ÓLEO DIESEL (m3),2012,MATO GROSSO,m3,31455.85,2012-01-01
ÓLEO DIESEL (m3),2012,GOIÁS,m3,36124.34,2012-01-01
ÓLEO DIESEL (m3),2012,DISTRITO FEDERAL,m3,11586.2,2012-01-01
ÓLEO DIESEL (m3),2012,RONDÔNIA,m3,1903.0,2012-01-01
ÓLEO DIESEL (m3),2012,ACRE,m3,45.0,2012-01-01
ÓLEO DIESEL (m3),2012,AMAZONAS,m3,0.0,2012-01-01
ÓLEO DIESEL (m3),2012,RORAIMA,m3,0.0,2012-01-01
ÓLEO DIESEL (m3),2012,PARÁ,m3,19095.925,2012-01-01
ÓLEO DIESEL (m3),2012,AMAPÁ,m3,0.0,2012-01-01
ÓLEO DIESEL (m3),2012,TOCANTINS,m3,1588.0,2012-01-01
ÓLEO DIESEL (m3),2012,MARANHÃO,m3,1179.0,2012-01-01
ÓLEO DIESEL (m3),2012,PIAUÍ,m3,2256.0,2012-01-01
ÓLEO DIESEL (m3),2012,CEARÁ,m3,0.0,2012-01-01
ÓLEO DIESEL (m3),2012,RIO GRANDE DO NORTE,m3,400.0,2012-01-01
ÓLEO DIESEL (m3),2012,PARAÍBA,m3,0.0,2012-01-01
ÓLEO DIESEL (m3),2012,PERNAMBUCO,m3,4594.404,2012-01-01
ÓLEO DIESEL (m3),2012,ALAGOAS,m3,1715.0,2012-01-01
ÓLEO DIESEL (m3),2012,SERGIPE,m3,2011.781,2012-01-01
ÓLEO DIESEL (m3),2012,BAHIA,m3,17542.204,2012-01-01
ÓLEO DIESEL (m3),2012,MINAS GERAIS,m3,50456.5,2012-01-01
ÓLEO DIESEL (m3),2012,ESPÍRITO SANTO,m3,6979.464,2012-01-01
ÓLEO DIESEL (m3),2012,RIO DE JANEIRO,m3,20123.813,2012-01-01
ÓLEO DIESEL (m3),2012,SÃO PAULO,m3,130727.704,2012-01-01
ÓLEO DIESEL (m3),2012,PARANÁ,m3,41273.676,2012-01-01
ÓLEO DIESEL (m3),2012,SANTA CATARINA,m3,41463.045,2012-01-01
ÓLEO DIESEL (m3),2012,RIO GRANDE DO SUL,m3,55880.171,2012-01-01
ÓLEO DIESEL (m3),2012,MATO GROSSO DO SUL,m3,18230.6,2012-01-01
ÓLEO DIESEL (m3),2012,MATO GROSSO,m3,40168.18,2012-01-01
ÓLEO DIESEL (m3),2012,GOIÁS,m3,15458.8,2012-01-01
ÓLEO DIESEL (m3),2012,DISTRITO FEDERAL,m3,2474.2,2012-01-01
ÓLEO DIESEL (m3),2013,RONDÔNIA,m3,41323.3,2013-01-01
ÓLEO DIESEL (m3),2013,ACRE,m3,5163.0,2013-01-01
ÓLEO DIESEL (m3),2013,AMAZONAS,m3,15654.199,2013-01-01
ÓLEO DIESEL (m3),2013,RORAIMA,m3,4250.0,2013-01-01
ÓLEO DIESEL (m3),2013,PARÁ,m3,73593.71,2013-01-01
ÓLEO DIESEL (m3),2013,AMAPÁ,m3,4237.3,2013-01-01
ÓLEO DIESEL (m3),2013,TOCANTINS,m3,55108.4,2013-01-01
ÓLEO DIESEL (m3),2013,MARANHÃO,m3,64221.45,2013-01-01
ÓLEO DIESEL (m3),2013,PIAUÍ,m3,32538.0,2013-01-01
ÓLEO DIESEL (m3),2013,CEARÁ,m3,64316.676,2013-01-01
ÓLEO DIESEL (m3),2013,RIO GRANDE DO NORTE,m3,32263.0,2013-01-01
ÓLEO DIESEL (m3),2013,PARAÍBA,m3,30302.16,2013-01-01
ÓLEO DIESEL (m3),2013,PERNAMBUCO,m3,81599.15,2013-01-01
ÓLEO DIESEL (m3),2013,ALAGOAS,m3,24164.0,2013-01-01
ÓLEO DIESEL (m3),2013,SERGIPE,m3,23542.6,2013-01-01
ÓLEO DIESEL (m3),2013,BAHIA,m3,167851.709,2013-01-01
ÓLEO DIESEL (m3),2013,MINAS GERAIS,m3,326249.131,2013-01-01
ÓLEO DIESEL (m3),2013,ESPÍRITO SANTO,m3,45747.5,2013-01-01
ÓLEO DIESEL (m3),2013,RIO DE JANEIRO,m3,102670.921,2013-01-01
ÓLEO DIESEL (m3),2013,SÃO PAULO,m3,475448.487,2013-01-01
ÓLEO DIESEL (m3),2013,PARANÁ,m3,270941.76900000003,2013-01-01
ÓLEO DIESEL (m3),2013,SANTA CATARINA,m3,126834.176,2013-01-01
